ExampleSentence;SentenceTranslation
אני הלכתי לסדנה עם רב ניסי (I went to a workshop with Rabbi Nissi);I went to a workshop with Rabbi Nissi.
רוב האנשים אוהבים לאכול פיצה.;Most people enjoy eating pizza.
אני לא הגעתי לעבודה בשל תקלת תחבורה;I didn't make it to work because of a transportation malfunction
התפוחים צריכים להיות בשלים לפני שאנחנו אוכלים אותם;The apples need to be ripe before we eat them.
אני אוהב לבשל ארוחות טעימות.;I love to cook delicious meals.
תן לי את הקופסאות ואני אנתנה בהן.;Give me the boxes and I will put (them) in them.
יש לי כלב גדול.;I have a big dog.
אני נתתי להם מתנה.;I gave them a gift.
אני רוצה לתרגם את המלה 'בעיקר' לאנגלית.;I want to translate the word 'בעיקר' to English.
אני אוהבת לקרוא, אני לא אוהבת אלא לקרוא ספרים מדע בדיוניים.;I love reading, but I only like reading science fiction books.
היום הוא הראשון של השבוע.;Today is the first day of the week.
אני אשים את הספר במקום אחר.;I will put the book in a different place.
אני במקום הראשון בתור;I am in the first place in line
אני רוצה לבנות בית במקום יפה.;I want to build a house in a beautiful place.
אני הלכתי לסרט עם חברים. שהיה מאוד מהנה!;I went to the movies with friends. That was very enjoyable!
אני אוהב ללכת לטיולים ביער וכן לצאת עם החברים לבר. (I love to go hiking in the forest and also go out with friends to a bar.);I love to go hiking in the forest and also go out with friends to a bar.
אני הכרתי את הרב אתמול בסופרמרקט.;I met the rabbi yesterday at the supermarket.
הרב שלי אמר שהם אמנם במיעוט, אבל הם עדיין חשובים.;My rabbi said that they are indeed in the minority, but they are still important.
שבו יש לי תקלה טכנית.;That in it I have a technical malfunction.
איזה זמן זה?;What time is it?
יכול לקום בבוקר.;Can wake up in the morning.
אני אוהב להיות בטבע;I love being in nature
האחות שלי נתנה לה שוקולד.;My sister gave her chocolate.
האדם הזה הוא יהודי.;This person is Jewish.
היהודים שומרים על מסורתות יהודיות מתפקדות. (The Jews uphold rich Jewish traditions.);The Jews uphold rich Jewish traditions.
אנחנו צריכים להוסיף נוספים לסל הקניות.;We need to add additional items to the shopping basket.
